message_id,user_id,chat_id,chat_type,date,text,message_type
31,8228964498,8228964498,private,2025-12-08T21:01:48+00:00,/start,text
32,8228964498,8228964498,private,2025-12-08T21:01:52+00:00,Hi,text
35,8228964498,8228964498,private,2025-12-08T21:08:02+00:00,Gozo,text
37,8228964498,8228964498,private,2025-12-08T21:08:13+00:00,ğŸ˜‚,text
39,162100115,162100115,private,2025-12-08T21:30:14+00:00,/start,text
41,76754341,76754341,private,2025-12-09T07:39:35+00:00,Ø§,text
43,76754341,76754341,private,2025-12-09T15:38:55+00:00,Ø±Ø§Ù†,text
45,8228964498,8228964498,private,2025-12-09T21:35:50+00:00,Bj,text
47,8228964498,8228964498,private,2025-12-09T21:36:03+00:00,/start,text
49,8228964498,8228964498,private,2025-12-09T21:36:04+00:00,/start,text
51,8228964498,8228964498,private,2025-12-09T21:36:19+00:00,/stop,text
53,8228964498,8228964498,private,2025-12-09T21:36:22+00:00,/stop,text
55,8228964498,8228964498,private,2025-12-09T21:36:24+00:00,/stop,text
57,8228964498,8228964498,private,2025-12-09T21:36:26+00:00,/stop,text
59,8228964498,8228964498,private,2025-12-09T21:36:28+00:00,/stop,text
61,8228964498,8228964498,private,2025-12-09T21:36:29+00:00,/stop,text
63,8228964498,8228964498,private,2025-12-09T21:36:31+00:00,/stop,text
65,8228964498,8228964498,private,2025-12-09T21:36:32+00:00,/stop,text
67,8228964498,8228964498,private,2025-12-09T21:36:33+00:00,/stop,text
69,8228964498,8228964498,private,2025-12-09T21:36:38+00:00,/stop,text
71,8228964498,8228964498,private,2025-12-09T21:36:45+00:00,/start,text
73,8228964498,8228964498,private,2025-12-09T23:03:50+00:00,ğŸŒˆ,sticker
75,8228964498,8228964498,private,2025-12-09T23:03:54+00:00,ğŸ˜˜,sticker
77,8228964498,8228964498,private,2025-12-09T23:04:01+00:00,ğŸŒˆ,sticker
79,8228964498,8228964498,private,2025-12-10T07:15:53+00:00,ØªØ§,text
81,8228964498,8228964498,private,2025-12-10T07:15:59+00:00,/start,text
83,8228964498,8228964498,private,2025-12-10T07:16:18+00:00,/start,text
85,8228964498,8228964498,private,2025-12-10T07:16:21+00:00,/start,text
87,8228964498,8228964498,private,2025-12-10T07:16:24+00:00,/start,text
89,8228964498,8228964498,private,2025-12-10T07:16:27+00:00,Ù„Ù†,text
91,8228964498,8228964498,private,2025-12-10T07:16:31+00:00,ØªÙ‚ÛŒ,text
93,8228964498,8228964498,private,2025-12-10T07:21:05+00:00,ØªØ¨ØªØ¨,text
95,647462399,647462399,private,2025-12-10T07:22:23+00:00,/start,text
97,647462399,647462399,private,2025-12-10T07:22:29+00:00,Urig,text
99,647462399,647462399,private,2025-12-10T10:21:15+00:00,Juggling,text
101,647462399,647462399,private,2025-12-10T10:21:25+00:00,/start,text
103,647462399,647462399,private,2025-12-10T10:52:56+00:00,By,text
105,647462399,647462399,private,2025-12-10T10:53:01+00:00,/start,text
107,647462399,647462399,private,2025-12-10T10:53:11+00:00,/start,text
109,647462399,647462399,private,2025-12-10T10:53:13+00:00,Ja,text
111,8228964498,8228964498,private,2025-12-10T18:52:49+00:00,ğŸŒˆ,sticker
113,76754341,76754341,private,2025-12-10T21:49:50+00:00,ğŸ˜‚,text
115,8228964498,8228964498,private,2025-12-11T14:21:40+00:00,ğŸŒˆ,sticker
117,647462399,647462399,private,2025-12-11T21:31:55+00:00,Ø¢Ø°Ø±,text
119,8228964498,8228964498,private,2025-12-14T23:11:56+00:00,ğŸ˜˜,sticker
121,8228964498,8228964498,private,2025-12-15T19:23:59+00:00,ğŸ˜˜,sticker
123,8228964498,8228964498,private,2025-12-16T22:48:38+00:00,Ø§,text
125,8228964498,8228964498,private,2025-12-17T21:55:31+00:00,Ù‡Ø§,text
127,76754341,76754341,private,2025-12-21T08:58:37+00:00,Na,text
129,647462399,647462399,private,2025-12-23T01:19:23+00:00,ğŸ˜ˆ,sticker
131,647462399,647462399,private,2025-12-23T01:19:45+00:00,ğŸ¤£,sticker
133,647462399,647462399,private,2025-12-23T01:19:49+00:00,ğŸ˜ˆ,sticker
135,8228964498,8228964498,private,2025-12-23T23:34:02+00:00,ğŸ‘‹,sticker
137,162100115,162100115,private,2026-01-04T14:09:33+00:00,sss,text
139,162100115,162100115,private,2026-01-04T14:12:39+00:00,â„,sticker
141,162100115,162100115,private,2026-01-04T14:14:20+00:00,Ø³Ø³Ø³Ø³,text
143,162100115,162100115,private,2026-01-04T14:14:38+00:00,Ø³Ø³Ø³,text
